reviewer_name,review_text,movie_name
David Gonzalez,The Godfather is a rarity in film as every element off and on screen work here.,The Godfather
Adam Kempenaar,There is simply not a character introduced or exchange of words or looks that doesn't inform or add.,The Godfather
James Wegg,"Marlon Brando gives a bravura, dusty-voice performance in the title role as the Sicilian who harvests favours from all comers, only to ask them to be paid back.",The Godfather
Robin Holabird,"The Godfather redefined concepts of Mob movies by standing out artistically, and that comes partly from its distinct look, as deep browns and blacks contrast with light and golden tints reminiscent of Caravaggio...violence and beauty indelibly combine.",The Godfather
Juan Pablo Russo,"With a memorable performance from Heath Ledger, masterful direction from Nolan, and bold storytelling, this film stands out as one of the best comic book adaptations in film history. [Full Review in Spanish]",The Dark Knight
Akhil Arora,It doesn’t matter how many superhero movies its crosstown rival makes; it’ll never match the brilliance that Nolan delivered the same year Marvel began its infinite project. Firing on all cylinders … this is the most complete film Nolan has ever made.,The Dark Knight
Christian Eulinberg,"For the longest time, I’ve viewed this film as the Godfather of live-action Batman films.",The Dark Knight
Cory Woodroof,"The pinnacle of Nolan’s career so far, The Dark Knight is one of the most impressionable films of the 21st century (and one of the best).",The Dark Knight
Brian Eggert,"An incomparable crime thriller and superhero film, and an instant classic in both genres",The Dark Knight
Fico Cangiano,A masterpiece within or outside the superhero & comic book genre it explores. Heath Ledger delivers one of the most iconic performances in film history. [Full review in Spanish],The Dark Knight
Richard Crouse,A rare beast. It's a summer blockbuster with equal parts brain and brawn.,The Dark Knight
Mike Massie,The famous masked vigilante has never looked or felt more intense.,The Dark Knight
Jason Best,"With his smeared whiteface make-up and leering razor-slashed smile, Ledger's Joker is creepy enough to look at, but what he represents is even more chilling.",The Dark Knight
Richard Propes,The awards hype is warranted.,The Dark Knight
Siddhant Adlakha,"The Dark Knight managed to capture something complex and instinctive about the ""war on terror"" era.",The Dark Knight
Josh Wilding,"A masterpiece. Christopher Nolan's The Dark Knight is not only one of the greatest comic book movies you'll ever see, but also one of the best films of all-time.",The Dark Knight
Felicia Feaster,It seems almost cruel to take beloved child archetypes and turn them into projections for adult angst.,The Dark Knight
Paul McGuire Grimes,"Heath Ledger gives one of the best performances of the last twenty years. When you watch his take on the Joker, it's one of complete surprise and mystery. It's frightening with how chaotic and mischievous he makes him.",The Dark Knight
Micheal Compton,"Ledger's performance alone is good enough to make The Dark Knight a very good movie, but fortunately this is a film with even more than that -- making it the not just the best film of the summer, but one of the best films of the year.",The Dark Knight
Danielle Solzman,The Dark Knight represents a masterpiece in filmmaking as Christopher Nolan takes the Batman Begins sequel to an entirely new level.,The Dark Knight
Mattie Lucas,The definitive movie of its genre and the best Batman film to date,The Dark Knight
Rachel Wagner,Heath Ledger is great.,The Dark Knight
Eileen Jones,"The movie's a real neo-noir all right, wallowing in darkness, thrilled with how bad we are, and getting such a kick out of our impending doom it cheers you right up.",The Dark Knight
Zaki Hasan,"Not just a perfect comic book movie, not just a perfect Batman movie, but darn-near a perfect movie, full stop.",The Dark Knight
Wendy Ide,The storytelling is leisurely and masterful; Coppola at the very peak of his powers.,The Godfather Part II
Montezuma,"If you like your drama on a low-key level with excellent acting all around, then Godfather II is where it's at. I wasn't a great fan of the original but this sequel succeeds in unraveling the saga of a simple Mafia family.",The Godfather Part II
Mark Johnson,"Through a compelling dual character study, the sequel explores the intertwined yet distinct paths of its protagonists. The result is a breathtaking display of filmmaking leaving us in awe of its expansive scope, attention to detail, and sheer perfection.",The Godfather Part II
Fico Cangiano,The finest example of when a sequel is superior to its predecessor. The Godfather Part II is one of the best films of all-time. A masterpiece. It's that simple. Full review in Spanish,The Godfather Part II
Matt Brunson,Lauded in some corners (although not this one) as being superior to its predecessor.,The Godfather Part II
Jake Cole,"The Godfather films have set home-video standards for decades, and that trend continues with Paramounts astonishing 4K restorations.",The Godfather Part II
Pauline Kael,It’s an epic vision of the corruption of America.,The Godfather Part II
Romola Costantino,"One leaves the theatre stunned by the cold, ruthless violence of which men who are so otherwise civilised (they, have nice homes, wear nice clothes, love their families and friends dearly) are capable.",The Godfather Part II
Alexander Walker,Director Francis Ford Coppola furnished a fully-fashioned gangster melodrama in the first film: in this one he stretches his talent to encompass a genuine American tragedy.,The Godfather Part II
Kirk Honeycutt,Seldom has a motion picture captured the feel and texture of novel form as this film does.,The Godfather Part II
Michael Billington,What particularly impresses me about the film is the way it conveys the feeling of being a young immigrant in the land of opportunity.,The Godfather Part II
Tom Hutchinson,"What is so good about the film is the sympathetic way that Coppola has treated such unsympathetic characters, machismo-minded males still worshiping at the god of tribal virility.",The Godfather Part II
Madeleine Harmsworth,"The Godfather, Part II grows more impressive by the minute.",The Godfather Part II
Soham Gadre,"This ideal is achieved perfectly in The Godfather: Part II, which to me is the best of the series.",The Godfather Part II
Susan Barton,"The cinematography is the third major element in Godfather, Part II, ranking with Coppola's direction and its major acting successes to create its convincing epic quality.",The Godfather Part II
Kevin Kelly,"All the performances are fine, especially Lee Strasberg as a despicable Meyer Lansky hood; Diane Keaton, as Michael's despairing wife; Robert Duvall, as his lawyer; and Robert De Niro, as Vito Adolini, nee Don Corleone.",The Godfather Part II
Dorothy Smiljanich,Acknowledgement should be given the film for its sweep and scope and a style so distinctive that Coppola must be credited with creating something entirely fresh and inimitable -- the hallmarks of a first-rate artist.,The Godfather Part II
Susan Stark,"Francis Ford Coppola's The Godfather, Part II is an even richer, more spellbinding work than its wholly successful predecessor.",The Godfather Part II
Gene Siskel,"The new sequel to The Godfather, titled The Godfather, Part II, permits us a second look inside that room, inside that world. At times the vision is as beautiful, as harrowing, and as exciting as the original.",The Godfather Part II
Desmond Ryan,"The Godfather, Part II really has no reason for its lavish existence other than the greediness of its makers. And that is the kind of avarice that a godfather appreciates.",The Godfather Part II
Grant Watson,"It brought the Holocaust to a mass non-Jewish audience at a time when survivors were dying of old age, and testimony was at risk of being lost.",Schindler's List
Wendy Ide,"Spielberg employs all the emotive Hollywood tools at his disposal and the result is a remarkable film with wide appeal and real importance. Neeson is phenomenal, but matched by towering performances from Ben Kingsley and Ralph Fiennes.",Schindler's List
Stephen Silver,"A great film, a powerful film, and even if it’s not the definitive American Holocaust film, it remains on the very short list of the most important ones. (30th anniversary)",Schindler's List
Anushka Halve,"This isn't your high-octane thriller; rather, acts of heroism unfold with a deliberate, strategic cadence.",Schindler's List
Mark Johnson,Spielberg’s most personal film is also his finest and most altruistic.,Schindler's List
Nanciann Cherry,"It's the faces that make Schindler's List a magnificent, harrowing, stomach-wrenching, emotional piece of cinema.",Schindler's List
Dan DiNicola,Schindler's List is not only a masterpiece but something of a miracle.,Schindler's List
Keith Garlington,A film of immense power and the deepest sincerity.,Schindler's List
James Wegg,It’s a bad business,Schindler's List
Quentin Falk,"Steven Spielberg's triumphant Schindler's List is a remarkable and moving memorial to an historical Holocaust. It is also a timely reminder of what genocide and ""ethnic cleansing"" really mean. But, above all, it is a cracking movie.",Schindler's List
Eleanor Ringel Cater,"Using every ounce of his awe some technical skill, the man who sent T. rex and Indiana Jones racing through our imagination brings us a story of human horror beyond imagination.",Schindler's List
Susan Stark,"Once in a very great while, a movie insinuates itself so deeply into your consciousness that it offers not vicarious experience but instead, direct experience. Steven Spielberg's heartfelt, monumental Schindler's List is such a movie.",Schindler's List
Henry Sheehan,"This is a movie that succeeds brilliantly not just in bringing a terrible chapter in history back to life, but in meticulously depicting the processes through which a self-obsessed and immature man becomes integrated and responsible.",Schindler's List
Michael H. Price,"There are enough ""Spielbergian"" set pieces and incidental touches to keep Schindler accessible to those who believe that the best Spielberg is the perky Spielberg of the E.T. and Indiana Jones romps.",Schindler's List
Ron Weiskind,"How does one comprehend the magnitude of the Holocaust? Remarkably, Steven Spielberg's Schindler's List defines the horror of Hitler's ""final solution"" on vividly human terms without diminishing its scope or impact.",Schindler's List
Lawrence Toppman,"Few films have ever dealt so chillingly with what philosopher Hannah Arendt called ""the banality of evil.""",Schindler's List
Joe Pollack,"Liam Neeson is a splendid Schindler, tall, handsome, devil-may-care and a poker-playing genius. Ben Kingsley, as Itzhak Stern, Schindler's accountant and chief aide, is as brilliant as ever, and Ralph Fiennes is evil and powerful as Amon Goeth.",Schindler's List
Steve Persall,A towering cinematic accomplishment from director Steven Spielberg that left all other 1993 films in its wake.,Schindler's List
Michael MacCambridge,Spielberg's dazzlingly modulated epic Schindler's List is nothing less than astonishing.,Schindler's List
Philip Strick,"A near-documentary, brilliantly designed and choreographed, [and] a character study in which Ralph Fiennes, the winningly urbane Liam Neeson, and the magnificently impassive Ben Kingsley attain a memorable dramatic intensity.",Schindler's List
Cody Dericks,"For all its titanic technical breakthroughs and iconic moments of spectacle, its thematic resonance and sweeping storytelling have helped maintain its legacy beyond similar blockbusters.",The Lord of the Rings: The Return of the King
Allyson Johnson,The Lord of the Rings: Return of the King asks us to reckon with death and then heals that emotional wound by reminding us that death isn’t a tragedy but the final passage of life.,The Lord of the Rings: The Return of the King
Collin Garbarino,"Depictions of true friendship in movies are rare. Depictions of male friendship, even rarer. With The Lord of the Rings, audiences saw trust and affection develop between men brought together by a common purpose.",The Lord of the Rings: The Return of the King
Sebastian Zavala Kahn,"It is a film of epic proportions, huge in scale and filled with moments of violence and emotion. But it is also an intimate and emotional experience, in which many viewers will end up shedding several tears. Full review in Spanish.",The Lord of the Rings: The Return of the King
Jae-Ha Kim,"The extendedversion of ""The Lord of the Rings: The Return of the King"" doesn't feel any longer than the film everybody saw at the multiplex. There's 50 extra minutes of never-before-seen footage added into the original theatrical release.",The Lord of the Rings: The Return of the King
Mark Johnson,Peter Jackson’s Lord of the Rings is one of the most astonishing achievements in the history of film. It is nothing short of magical.,The Lord of the Rings: The Return of the King
Fico Cangiano,"A glorious and satisfactory close to one of the best film trilogies of all time. Peter Jackson's third entry is his biggest in scope, and also his most emotional. For Frodo! [Full review in Spanish]",The Lord of the Rings: The Return of the King
Sean Axmaker,"... a blood and thunder finale that takes the viewer into a conflict of (quite literally) Middle-Earth shattering dimensions. If anything, Peter Jackson and his collaborators try to do too much with the final book of J.R.R. Tolkien’s fantasy trilogy.",The Lord of the Rings: The Return of the King
Film Companion Staff,...one of the greatest good vs evil stories ever told...,The Lord of the Rings: The Return of the King
Mike Massie,"The massive scope of this climactic chapter is once again awe-inspiring, entailing exceptional use of computer graphics, prosthetics and makeup, costuming, and sets.",The Lord of the Rings: The Return of the King
Rachel Wagner,For 2004 [the special effects] look great.,The Lord of the Rings: The Return of the King
Kaleem Aftab,"Peter Jackson's place in cinematic history is cemented with The Return of the King and now Star Wars seems like a film made a long time ago in a galaxy far, far away.",The Lord of the Rings: The Return of the King
Sr. Rose Pacatte,The Return of the King is really the heart of this cinematic masterpiece.,The Lord of the Rings: The Return of the King
Alex Casey,"At a whopping, hilarious, 4.20 duration for the extended version, Return of the King is the Oscar-winning, magnum opus of the franchise.",The Lord of the Rings: The Return of the King
Jonathan Romney,"This atavistic Christians-vs-Moors narrative doesn't belong in the present day, and that's no doubt why so many people are addicted to it: it's so ideologically overstated that it can easily be brushed off as harmlessly quaint escapism.",The Lord of the Rings: The Return of the King
James Christopher,"The sense of closure is exquisite, but I'm not sure I'm able to forgive Peter Jackson for the three years that he has taken to put it on the screen. The wait has been excruciating.",The Lord of the Rings: The Return of the King
Giovanni Fazio,"[It[ almost needs no review. If you liked, or disliked, either of the first two films, this one offers more of the same, with the emphasis on the ""more.""",The Lord of the Rings: The Return of the King
Antonia Quirke,"Viggo Mortensen's Aragorn is the good king of the title, and while the actor may look fetching in a crown and cloak, he doesn't have half of the gravitas of Sean Bean's Boromir in the first film.",The Lord of the Rings: The Return of the King
Sean Nelson,"Ultimately, the chief difference between this film and its two predecessors is the presence of resolution. The story ends, just like we all knew it would. And there's something inherently disappointing about that.",The Lord of the Rings: The Return of the King
Tim Evans,This is the crowning glory -- a cinematic feat that satisfies at every level.,The Lord of the Rings: The Return of the King
Sean Axmaker,... a film that twists and turns and double backs on itself with the sheer delight of a narrative magician.,Pulp Fiction
Roger Ebert,"Quentin Tarantino is the Jerry Lee Lewis of cinema, a pounding performer who doesn't care if he tears up the piano, as long as everybody is rocking.",Pulp Fiction
Marjorie Baumgarten,Rarely have I left a movie theatre more thrilled or invigorated as I did after leaving Pulp Fiction.,Pulp Fiction
Tom Long,"There is a fine madness to writer/director/actor Quentin Tarantino's latest wonderwork, Pulp Fiction, which is certainly one of the most exciting films of the past 20 years and easily the most important film of 1994.",Pulp Fiction
Peter Keough,"Unlike his first film, Reservoir Dogs, whose genius lay in its ability to shock and dazzle, Pulp Fiction penetrates the glib surface of style, allusion, and machismo to the murky meaning of these things.",Pulp Fiction
Peter Travers,There's a special kick that comes from watching something this thrillingly alive.,Pulp Fiction
Eleanor Ringel Cater,"The actors know they've got a good thing and, echoing Tarantino's boldness and resourcefulness, they give it everything they've got.",Pulp Fiction
Elizabeth Pincus,"Like its source material, Pulp Fiction is comic and grim, sun-soaked and shadowy, tender and blunt. A pop-drenched dream reel, the film is both a reverential nod to the power of words and a stunning entertainment that more than lives up to its hype.",Pulp Fiction
Desson Thomson,"Brilliant and brutal, funny and exhilarating, jaw-droppingly cruel and disarmingly sweet.",Pulp Fiction
Marylynn Uricchio,"A truly great soundtrack keeps the tone hip and even steals a scene or two. Not that Tarantino doesn't have plenty to spare. Pulp Fiction is riveting filmmaking funny, visceral, stylish and so unabashedly original that you never want it to end.",Pulp Fiction
Dolores Barclay,"Unlike too many movies with annoying soundtracks that make up for inferior filmmaking, Tarantino allows natural sounds to slip in -- traffic utensils and other everyday background noises. It allows for more drama and a greater buildup of tension.",Pulp Fiction
Gene Siskel,"In between the violence, which does get hard R-rated extreme, the real pleasure of Pulp Fiction is listening to these folks talk. If you smile at David Mamet's dialogue, you'll laugh out loud at the words of Quentin Tarantino.",Pulp Fiction
Steve Persall,Nothing you've ever seen on screen fully prepares you for the audacious ferocity of Quentin Tarantino's pitch-black comedy Pulp Fiction.,Pulp Fiction
Rene Rodriguez,"[Pulp Fiction] is a dazzling feat of writing. Lurid and unexpectedly hilarious, it's a deceptive piece of work that appears slight and simple on the surface but grows richer and more complex with hindsight.",Pulp Fiction
Robbie Roberts,"Quentin Tarantino, two movies into his directing career, brings to mind the early years of Godard and Truffaut, Coppola when he arrived with the Godfathers and Scorcese when he took to the streets of New York.",Pulp Fiction
David Baron,A 2 1/2 -hour tour-de-force of personal style that (with the help of an extraordinary cast) creates more memorable characters than any other movie this year.,Pulp Fiction
Dennis King,Possessed of the literary grit and low-life existentialism that its title suggests Pulp Fiction is a hard-boiled work of virtuoso moviemaking by writer-director Quentin Tarantino.,Pulp Fiction
Harper Barnes,"If you like crime fiction and enjoy superb acting, characters deep enough to bleed (sometimes excessively), suspenseful plots, masterly direction and brilliant colloquial dialogue, Pulp Fiction is definitely for you.",Pulp Fiction
Sean P. Means,"What writer-director Quentin Tarantino serves up in Pulp Fiction is an all-out thrill ride -- like careening through a Raymond Chandler anthology, with Robert Altman and Dennis Miller in the back seat in a '64 Mustang doing Warp 9.",Pulp Fiction
Nanciann Cherry,"Pulp Fiction runs more that 2 1/2 hours, but it's still lean and mean. Every element of the bizarre, dizzying journey is carefully conceived and executed to take its viewers into the darkest recesses of life, then, with a wink and a laugh, set them free.",Pulp Fiction
Sebastian Zavala Kahn,"An extraordinary adventure that combines incredible real locations with great-looking models, visual effects, excellent performances and memorable characterizations, managing to immerse the viewer in Middle Earth. Full review in Spanish.",The Lord of the Rings: The Fellowship of the Ring
James Croot,"There's still an organic, made-in-Jackson's-backyard feel to some of the battle and character scenes.",The Lord of the Rings: The Fellowship of the Ring
Sarah Brinks,I'm sure you can smell the nerdy fan-girl coming from this review but it is a film I genuinely love and was thrilled to rewatch for this challenge.,The Lord of the Rings: The Fellowship of the Ring
Murtada Elfadl,Excellent well-made adventure film especially when compared with mediocre output of current superhero movies. Grand old fashioned entertainment.,The Lord of the Rings: The Fellowship of the Ring
Film Companion Staff,Peter Jackson throws you onto the battlefield with your favourite characters.,The Lord of the Rings: The Fellowship of the Ring
Mike Massie,"Well balanced and stimulating, the film alternates between intense action, light comedy, and sincere drama (a few moments are even reserved for romance).",The Lord of the Rings: The Fellowship of the Ring
Fico Cangiano,"Peter Jackson's epic adaptation is an impressive beast of a film that will steal your heart every time. It grabs you with its sense of urgency, huge scope and hope. The beginning to one of the best movie trilogies of all time. [Full review in Spanish]",The Lord of the Rings: The Fellowship of the Ring
Joshua Rothkopf,Jackson is working from obvious passion; he knows the most special of effects are expected of him but deploys his technology smartly.,The Lord of the Rings: The Fellowship of the Ring
Rachel Wagner,Ian McKellen... does a wonderful job and he really sort of grounds the film.,The Lord of the Rings: The Fellowship of the Ring
Alex Casey,"God, it's good.",The Lord of the Rings: The Fellowship of the Ring
Louis Menand,"The Fellowship of the Ring is an impressive piece of filmmaking. It is, indeed, intensely faithful to the text, although, unsurprisingly, a great deal of the story is omitted.",The Lord of the Rings: The Fellowship of the Ring
Covadonga G. Lahera,[Peter] Jackson's ability to maintain the universality of a story is praiseworthy. [Full Review in Spanish],The Lord of the Rings: The Fellowship of the Ring
Sean Axmaker,"New Zealand genre film maverick Peter Jackson does the impossible: he makes a faithful, magical, thrilling, and-most importantly-compelling film version of J.R.R. Tolkein's great cult fantasy epic.",The Lord of the Rings: The Fellowship of the Ring
Christopher Tookey,"I have no serious criticisms. The film does full justice to Tolkien, who has often -- and erroneously -- been accused of escapism.",The Lord of the Rings: The Fellowship of the Ring
Dennis King,"It's hard to imagine any but the most nit-picky and dogmatic being disappointed by this epic, lovingly crafted movie.",The Lord of the Rings: The Fellowship of the Ring
Xan Brooks,"Most ambitiously, this rousing adventure closes with an ending that's closer in spirit to an art-house film than a popcorn holiday romp.",The Lord of the Rings: The Fellowship of the Ring
Unknown reviewer,"This isn't some happy, kid-friendly adventure -- it's the story of how an entire world is plunged into war.",The Lord of the Rings: The Fellowship of the Ring
Andrew Collins,"Only someone with a pathological aversion to fantasy could fail to be absorbed and transported by this stunning, sincere and frequently terrifying adaptation.",The Lord of the Rings: The Fellowship of the Ring
Scott Tobias,"An enthusiastic visionary set loose on one of the biggest playgrounds ever constructed, Jackson brings more personality to the series' first installment, The Fellowship Of The Ring, than typically seeps into a franchise of this magnitude.",The Lord of the Rings: The Fellowship of the Ring
Michael Sragow,"The Fellowship of the Ring is a movie masterpiece thrilling, passionate and wise.",The Lord of the Rings: The Fellowship of the Ring
Zita Short,It makes a case for Sergio Leone as a true artist and it slowly reveals itself to have real emotional heft when you begin considering some of the ambitious themes that Leone tackles.,"The Good, the Bad and the Ugly"
Matt Brunson,"While it may not be the best Western ever made - heck, it's not even the best Western Leone ever made - it's clearly the work of a master filmmaker whose style has never grown stale.","The Good, the Bad and the Ugly"
Sarah Boslaugh,"If you only see one spaghetti Western in your lifetime, this is the one to see.","The Good, the Bad and the Ugly"
Sarah Brinks,"The score for The Good, the Bad and the Ugly is magnificent. The main theme that plays over the titles is simultaneously of a specific time and also timeless.","The Good, the Bad and the Ugly"
A.S. Hamrah,"Leone's penchant for contrasting two kinds of shots, close-ups and long shots, finds its corollary in the gray or blue...Leone turns gray soldiers blue in the simplest way possible. Movies were invented for ideas like that.","The Good, the Bad and the Ugly"
Mike Massie,Boasts what is often considered the greatest showdown ever filmed.,"The Good, the Bad and the Ugly"
Allen Almachar,The quintessential spaghetti western.,"The Good, the Bad and the Ugly"
Kyle Smith,"As in an opera, the characters are archetypes, not figures we particularly identify with; as in an opera, we waited a long time for the inevitable ghastly conclusion; as in an opera, Leone seeks (and delivers) a kind of ecstatic dread.","The Good, the Bad and the Ugly"
Tom Meek,"The final scene in the Sad Hill Cemetery is a riveting spectacle, made so by some brilliantly tight editing and underscored by the genius of Ennio Morricone's genre-defining composition.","The Good, the Bad and the Ugly"
Asher Luberto,"When Ennio Morricone's score kicks in and Leone's editing picks up, our everyday problems fade away like a cowboy riding off into the sunset.","The Good, the Bad and the Ugly"
Laura Bradley,"If you've never gotten into spaghetti Westerns, there's no time like the present to give it a go with one of the best.","The Good, the Bad and the Ugly"
Bob Strauss,"But ""GBU"" remains the iconic piece for all time.","The Good, the Bad and the Ugly"
Sean Axmaker,"There are two kinds of people, my friend. Those who love Sergio Leone's The Good, the Bad and the Ugly (1966) and those who resist the machismo and gallows humor of what is arguably the definitive spaghetti western.","The Good, the Bad and the Ugly"
Cole Smithey,"Leone's liberal use of widescreen shots in conjunction with extreme close-ups gives the movie an epic quality that is matched in scope by a skeletal narrative structure that breathes with a poker-faced mood, tone, and personality.","The Good, the Bad and the Ugly"
Tim Brayton,A unique vision of the American West as place of desolation and ruin on a truly epic scale.,"The Good, the Bad and the Ugly"
Wesley Lovell,The defining spaghetti western pits a charismatic Clint Eastwood against partner and nemesis Eli Wallach and perpetual enemy Lee Van Cleef.,"The Good, the Bad and the Ugly"
Charles Cassady,Potent Italian-Western shoot-'em up/war drama.,"The Good, the Bad and the Ugly"
Dennis Schwartz,Its parody of genre conventions resonates with scope and power.,"The Good, the Bad and the Ugly"
Kevin Carr,"Sergio Leone's dramatic directing style is powerful and well delivered, even by today's standards.","The Good, the Bad and the Ugly"
Dan Jardine,The fellas in Leone's films are seething cesspools of hatred and frustration whose only satisfaction-however fleeting-is found in pursuit and acquisition of money,"The Good, the Bad and the Ugly"
Cameron Meier,Forrest was an ordinary man in extraordinary circumstances.,Forrest Gump
David Denby,"Zemeckis has made a fast movie about a slow hero; he transforms Forrest's daffy misconceptions into lyrical flights. Forrest Gump has a softer, more delicate touch and a richer current of feeling than any of the other holy-innocent movies.",Forrest Gump
Michael MacCambridge,"What makes Forrest Gump a stunning triumph, a departure from the mediocre norm? A big reason is the way the film provides a fresh perspective on the familiar experience, through the eyes of its unforgettable protagonist.",Forrest Gump
Steve Persall,"Forrest Gump isn't a movie for cynics. Instead, it's one of those rare films that seduces viewers into overlooking its faults with the sheer goodness of its heart.",Forrest Gump
Michael Medved,"Hanks' performance [is] a triumph of dignity, decency, and warm-hearted humor... Even more than his Oscar-winning achievement in Philadelphia, this is a role that will be remembered as long as people care about great acting.",Forrest Gump
Eleanor O'Sullivan,Forrest Gump is a very fine hour for everybody involved. And it's concrete evidence that Tom Hanks is the best actor working in American film today.,Forrest Gump
Kristal Brent Zook,"Forrest Gump is for big kids what playing Nintendo is for little ones -- that is, the neato thing about Robert Zemeckis' film is the clever techno-wizardry produced by Ken Ralston and Industrial Light and Magic.",Forrest Gump
